"","X","Y"
"2179.730793_2930.950073",2179.730793,2930.950073
"2179.730793_3030.950073",2179.730793,3030.950073
"2179.730793_3130.950073",2179.730793,3130.950073
"2179.730793_3230.950073",2179.730793,3230.950073
"2179.730793_3330.950073",2179.730793,3330.950073
"2179.730793_3430.950073",2179.730793,3430.950073
"2179.730793_3530.950073",2179.730793,3530.950073
"2179.730793_3630.950073",2179.730793,3630.950073
"2179.730793_3730.950073",2179.730793,3730.950073
"2179.730793_3830.950073",2179.730793,3830.950073
"2179.730793_3930.950073",2179.730793,3930.950073
"2179.730793_4030.950073",2179.730793,4030.950073
"2179.730793_4130.950073",2179.730793,4130.950073
"2179.730793_4230.950073",2179.730793,4230.950073
"2279.730793_2730.950073",2279.730793,2730.950073
"2279.730793_2830.950073",2279.730793,2830.950073
"2279.730793_2930.950073",2279.730793,2930.950073
"2279.730793_3030.950073",2279.730793,3030.950073
"2279.730793_3130.950073",2279.730793,3130.950073
"2279.730793_3230.950073",2279.730793,3230.950073
"2279.730793_3330.950073",2279.730793,3330.950073
"2279.730793_3430.950073",2279.730793,3430.950073
"2279.730793_3530.950073",2279.730793,3530.950073
"2279.730793_3630.950073",2279.730793,3630.950073
"2279.730793_3730.950073",2279.730793,3730.950073
"2279.730793_3830.950073",2279.730793,3830.950073
"2279.730793_3930.950073",2279.730793,3930.950073
"2279.730793_4030.950073",2279.730793,4030.950073
"2279.730793_4130.950073",2279.730793,4130.950073
"2279.730793_4230.950073",2279.730793,4230.950073
"2379.730793_2730.950073",2379.730793,2730.950073
"2379.730793_2830.950073",2379.730793,2830.950073
"2379.730793_2930.950073",2379.730793,2930.950073
"2379.730793_3030.950073",2379.730793,3030.950073
"2379.730793_3130.950073",2379.730793,3130.950073
"2379.730793_3230.950073",2379.730793,3230.950073
"2379.730793_3330.950073",2379.730793,3330.950073
"2379.730793_3430.950073",2379.730793,3430.950073
"2379.730793_3530.950073",2379.730793,3530.950073
"2379.730793_3630.950073",2379.730793,3630.950073
"2379.730793_3730.950073",2379.730793,3730.950073
"2379.730793_3830.950073",2379.730793,3830.950073
"2379.730793_3930.950073",2379.730793,3930.950073
"2379.730793_4030.950073",2379.730793,4030.950073
"2379.730793_4130.950073",2379.730793,4130.950073
"2379.730793_4230.950073",2379.730793,4230.950073
"2479.730793_2730.950073",2479.730793,2730.950073
"2479.730793_2830.950073",2479.730793,2830.950073
"2479.730793_2930.950073",2479.730793,2930.950073
"2479.730793_3030.950073",2479.730793,3030.950073
"2479.730793_3130.950073",2479.730793,3130.950073
"2479.730793_3230.950073",2479.730793,3230.950073
"2479.730793_3330.950073",2479.730793,3330.950073
"2479.730793_3430.950073",2479.730793,3430.950073
"2479.730793_3530.950073",2479.730793,3530.950073
"2479.730793_3630.950073",2479.730793,3630.950073
"2479.730793_3730.950073",2479.730793,3730.950073
"2479.730793_3830.950073",2479.730793,3830.950073
"2479.730793_3930.950073",2479.730793,3930.950073
"2479.730793_4030.950073",2479.730793,4030.950073
"2479.730793_4130.950073",2479.730793,4130.950073
"2479.730793_4230.950073",2479.730793,4230.950073
"2579.730793_2730.950073",2579.730793,2730.950073
"2579.730793_2830.950073",2579.730793,2830.950073
"2579.730793_2930.950073",2579.730793,2930.950073
"2579.730793_3030.950073",2579.730793,3030.950073
"2579.730793_3130.950073",2579.730793,3130.950073
"2579.730793_3230.950073",2579.730793,3230.950073
"2579.730793_3330.950073",2579.730793,3330.950073
"2579.730793_3430.950073",2579.730793,3430.950073
"2579.730793_3530.950073",2579.730793,3530.950073
"2579.730793_3630.950073",2579.730793,3630.950073
"2579.730793_3730.950073",2579.730793,3730.950073
"2579.730793_3830.950073",2579.730793,3830.950073
"2579.730793_3930.950073",2579.730793,3930.950073
"2579.730793_4030.950073",2579.730793,4030.950073
"2579.730793_4130.950073",2579.730793,4130.950073
"2579.730793_4230.950073",2579.730793,4230.950073
"2679.730793_2730.950073",2679.730793,2730.950073
"2679.730793_2830.950073",2679.730793,2830.950073
"2679.730793_2930.950073",2679.730793,2930.950073
"2679.730793_3030.950073",2679.730793,3030.950073
"2679.730793_3130.950073",2679.730793,3130.950073
"2679.730793_3230.950073",2679.730793,3230.950073
"2679.730793_3330.950073",2679.730793,3330.950073
"2679.730793_3430.950073",2679.730793,3430.950073
"2679.730793_3530.950073",2679.730793,3530.950073
"2679.730793_3630.950073",2679.730793,3630.950073
"2679.730793_3730.950073",2679.730793,3730.950073
"2679.730793_3830.950073",2679.730793,3830.950073
"2679.730793_3930.950073",2679.730793,3930.950073
"2679.730793_4030.950073",2679.730793,4030.950073
"2679.730793_4130.950073",2679.730793,4130.950073
"2679.730793_4230.950073",2679.730793,4230.950073
"-2291.755065_-151.4568705",-2291.755065,-151.4568705
"-2291.755065_-51.4568705",-2291.755065,-51.4568705
"-2291.755065_1048.5431295",-2291.755065,1048.5431295
"-2291.755065_1148.5431295",-2291.755065,1148.5431295
"-2291.755065_1248.5431295",-2291.755065,1248.5431295
"-2291.755065_1348.5431295",-2291.755065,1348.5431295
"-2291.755065_148.5431295",-2291.755065,148.5431295
"-2291.755065_248.5431295",-2291.755065,248.5431295
"-2291.755065_348.5431295",-2291.755065,348.5431295
"-2291.755065_448.5431295",-2291.755065,448.5431295
"-2291.755065_48.5431295",-2291.755065,48.5431295
"-2291.755065_548.5431295",-2291.755065,548.5431295
"-2291.755065_648.5431295",-2291.755065,648.5431295
